state,sex,race,age,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016
-1.0,-1.0,-1.0,-1.0,2388981.2195843067,2360729.6971974694,2380771.241825379,2381546.017739052,2378611.3263201322,2357474.1753451894,2366633.423723623,2397610.70352491,2408095.4814583324,2426228.442220345,2448048.036081825,2460021.0677863187,2517783.4685856015,2548146.053929711,2579996.531708403,2616909.760694254,2657195.656368077,2688755.707085893
-1.0,0.0,-1.0,-1.0,1159677.6530170776,1147022.1997114993,1148551.1360319827,1156753.3398796516,1156916.1173503192,1144821.5753824534,1152907.6076547906,1174868.5968595976,1183854.0575962355,1192921.2105581025,1207092.974046463,1215520.5436211815,1244222.1444829477,1268612.8791152225,1287052.627862192,1309517.8519228138,1335317.2149740243,1358729.3365239536
-1.0,1.0,-1.0,-1.0,1223843.6606669433,1209066.4145894442,1227773.891169452,1221496.4259448773,1217742.5082776016,1209207.851546652,1209667.379002979,1218740.5129289746,1219544.2885928936,1229057.9273209593,1236581.4270877421,1240279.5963300557,1267758.1249411665,1273266.593298857,1287346.609187972,1302222.5476532711,1315703.3194649958,1324606.9875826333
-1.0,-1.0,0.0,-1.0,1974329.652278643,1944685.3081290843,1956962.882484743,1949845.4108178918,1943674.7874503224,1922680.9551902397,1927730.373622824,1946289.5252964774,1952980.9459903499,1960720.524028896,1974214.8154417567,1975528.6516524195,2016172.5421637879,2034365.4807798716,2053247.813077076,2076214.809871114,2100534.023034507,2117657.9135286943
-1.0,-1.0,1.0,-1.0,270558.16874925606,267459.2888216051,267015.5448641636,270239.7927811758,269628.7507006519,265311.5052608137,264478.4490469426,268268.6515196934,269710.5461136545,272325.10174798174,273367.82107714,277382.1014097015,283997.91257068265,286510.3158657888,290163.5742316121,294218.14692497806,298581.32917318464,300513.4130925401
-1.0,-1.0,2.0,-1.0,97612.96709183307,101504.76084833211,105697.37162858018,108944.04826640557,111135.22388535833,113452.23984897918,116546.06973632351,121318.99204771324,123195.00113840951,128656.24415238581,133426.0316444426,138085.82910586052,144153.42483585703,149754.35879800186,155827.91372557046,162989.56905686998,166967.0361581072,176912.47581058706
-1.0,-1.0,3.0,-1.0,40530.35285792109,41603.02830305792,45369.50817917071,47000.93927873586,48886.611799647995,49891.93236840535,52086.38753291104,55286.12118596837,56118.94913177652,58294.388635956646,60519.98956886655,62447.646543134535,66287.60497871615,68693.69737363931,71917.90907431435,74958.38172522,79749.4495112586,82567.88264527169
-1.0,-1.0,-1.0,0.0,16249.870864628205,17159.848988345166,18109.722148950164,19219.4220336482,19589.783790587866,19819.87035776139,19779.692971833516,19559.917070345055,19290.008144627223,19169.7748591395,18779.929452651344,18549.842557786546,19409.730051533934,19509.862348213894,19370.009474048577,19249.89759864379,19029.84257079072,18539.755059284773
-1.0,-1.0,-1.0,1.0,40549.77133819331,40429.91044305554,40639.81224916463,41059.774790751006,40829.81581303702,41299.62446250273,40469.9348528176,40499.708788852266,41179.939828325136,41759.676089971574,42439.751908725935,43929.68402408235,45099.58793399726,45759.83051493645,47099.72972970129,47919.747675278195,48699.744335466494,49929.87098785696
-1.0,-1.0,-1.0,2.0,89009.11303254422,88499.32469320855,88169.85344791315,87439.6603594256,86629.77953305708,84539.55850422455,80699.78171454262,80309.5677724642,78429.3071278693,76779.7860382117,75289.78923121776,72769.98090119271,72229.588841218,72039.7555005602,71539.70062368238,71059.39720200314,70829.51950809965,70989.54777512886
-1.0,-1.0,-1.0,3.0,156049.30238872927,162068.61174170443,168869.29835085914,171128.9557056033,176469.37333674778,175719.29395052535,176689.2174441291,181389.61115917563,183849.96226943063,182288.53008097978,183768.606467184,181249.1456238963,184849.55360759766,178608.8284096868,178219.254975825,174389.2169167198,171619.16636113194,168269.1893876654
-1.0,-1.0,-1.0,4.0,241447.11864365535,238538.67741863496,244678.12123372377,251068.13364125957,259607.6845320075,261678.27414550912,269458.28550866194,280108.2359809733,286596.89152343763,291528.57857062394,298928.13408438826,308618.6066505555,329419.035338001,332678.78280066146,336898.07069422136,346278.79060820385,354768.34787538584,363889.78973543993
-1.0,-1.0,-1.0,5.0,457686.5893556323,437475.9252709933,425556.573864252,421104.7795551899,407443.6830647736,395453.8675469427,392516.6201835388,389086.0511644574,394645.88968208927,400074.51733756886,407254.49054745794,410965.73884999816,419466.02191348234,438667.6417678992,454368.980879931,475148.2140074642,492516.5021685041,507358.1490310145
-1.0,-1.0,-1.0,6.0,717507.619475766,702896.3666859593,707395.0525653053,703113.5486627475,694234.1420431434,684941.4273257337,679859.2898500871,672983.962981094,661910.8184596413,652303.309467561,645501.7606243461,636977.3408385977,625491.5207808991,624731.5817095753,624635.0851140909,627495.1842627737,632432.0695817752,640712.5699130123
-1.0,-1.0,-1.0,7.0,652391.7004411177,658316.471406158,671914.5125502,672186.9762121523,677971.3589261955,679541.2179476357,691632.5023472495,717315.7561411625,726173.9263673853,746100.1991878903,760378.7296673589,770885.6366134973,804069.7856794057,818438.7674344206,829827.1250930248,838485.9117952154,847315.6944123447,850376.0986811081
